,Road type,Road ID,Scenario Length,Vehicle_in_front,vehicle_in_adjcent_lane,vehicle_in_opposite_lane,vehicle_in_front_two_wheeled,vehicle_in_adjacent_two_wheeled,vehicle_in_opposite_two_wheeled,time of day,weather,Number of People,Target Speed,Trees in scenario,Buildings in Scenario,task,f1,f2,f3,f4,f5
0,2,2,0,1,1,0,1,0,0,0,1,0,4,1,1,0,0.48852173913043484,0.01,1.0,1.0,1.0
1,3,1,0,0,1,0,1,1,1,1,5,0,2,1,1,2,0.7919130434782609,1.0,1.0,1.0,1.0
2,1,0,0,0,1,1,1,1,1,0,6,0,4,1,1,0,0.6333043478260869,1.0,1.0,1.0,1.0
3,3,0,0,1,0,0,0,0,0,2,6,1,4,1,1,0,0.929304347826087,1.0,1.0,1.0,1.0
4,3,3,0,1,0,0,1,0,0,0,2,1,3,1,1,1,0.4421739130434783,1.0,1.0,1.0,1.0
5,1,0,0,0,1,1,0,1,0,1,4,1,3,1,1,0,0.6785217391304348,1.0,1.0,1.0,1.0
6,0,3,0,0,1,0,0,1,0,0,4,0,3,1,1,0,0.884,1.0,1.0,1.0,1.0
7,2,0,0,1,1,0,0,1,1,0,3,1,2,1,1,0,0.5236521739130435,1.0,1.0,1.0,1.0
8,0,0,0,1,0,1,0,1,1,1,0,0,2,1,1,0,0.9412173913043478,1.0,1.0,1.0,1.0
9,2,2,0,0,1,0,1,1,1,1,2,0,2,1,1,0,0.7654782608695652,1.0,1.0,1.0,1.0
10,0,2,0,0,0,0,0,0,0,0,3,0,3,1,1,0,0.9618260869565217,1.0,1.0,1.0,1.0
11,2,2,0,0,0,0,1,1,1,2,4,1,4,1,1,0,0.7243478260869565,1.0,1.0,1.0,1.0
12,3,2,0,1,0,0,0,0,0,0,4,1,3,1,1,2,0.6925217391304348,1.0,1.0,1.0,1.0
13,1,3,0,1,0,1,1,1,0,2,5,1,4,1,1,0,0.658695652173913,0.04,1.0,1.0,1.0
14,1,1,0,1,0,1,1,1,0,1,1,1,2,1,1,0,0.7389565217391304,1.0,1.0,1.0,1.0
